County,netMigration,Year
Alameda,10.9,2014
Alpine,12.9,2013
Amador,14.1,2014
Butte,13.9,2014
Calaveras,14.4,2014
Colusa,20.8,2014
Contra Costa,11,2014
Del Norte,13.2,2014
El Dorado,12.2,2014
Fresno,16.7,2014
Glenn,15.4,2014
Humboldt,10.6,2014
Imperial,28.8,2014
Inyo,9.7,2014
Kern,15.7,2014
Kings,16.1,2014
Lake,15.1,2014
Lassen,14,2014
Los Angeles,12.5,2014
Madera,16.6,2014
Marin,7.9,2014
Mariposa,12.9,2014
Mendocino,11.6,2014
Merced,18,2014
Modoc,15.2,2014
Mono,10.2,2014
Monterey,12.7,2014
Napa,10.3,2014
Nevada,11.7,2014
Orange,9.7,2014
Placer,11.6,2014
Plumas,18.2,2014
Riverside,13.8,2014
Sacramento,12.6,2014
San Benito,15.1,2014
San Bernardino,13.5,2014
San Diego,10.8,2014
San Francisco,8.9,2014
San Joaquin,16.5,2014
San Luis Obispo,10.1,2014
San Mateo,8.4,2014
Santa Barbara,9.7,2014
Santa Clara,10.4,2014
Santa Cruz,13.3,2014
Shasta,16.8,2014
Sierra,15.3,2014
Siskiyou,16.8,2014
Solano,12.6,2014
Sonoma,10.8,2014
Stanislaus,16.9,2014
Sutter,18.4,2014
Tehama,15.4,2014
Trinity,17,2014
Tulare,17.2,2014
Tuolumne,15.2,2014
Ventura,10.8,2014
Yolo,12.1,2014
Yuba,17.8,2014